Task,Total Samples,Train Rows,Val Rows,Test Rows,Train_Range,Val_Range,Test_Range
16_INBOUND,238991,167259,35513,36219,2020-01-04 -- 2021-09-18,2021-09-19 -- 2022-01-10,2022-01-11 -- 2022-05-07
16_OUTBOUND,379138,264721,57408,57009,2020-01-04 -- 2021-09-09,2021-09-10 -- 2021-12-26,2021-12-29 -- 2022-05-07
1_INBOUND,482811,337030,72368,73413,2020-01-05 -- 2021-09-07,2021-09-09 -- 2021-12-21,2021-12-22 -- 2022-06-06
1_OUTBOUND,137772,96052,20749,20971,2020-01-05 -- 2021-09-09,2021-09-10 -- 2021-12-19,2021-12-20 -- 2022-05-07
10C_INBOUND,30938,21552,4686,4700,2021-05-10 -- 2021-12-22,2021-12-23 -- 2022-03-22,2022-03-25 -- 2022-05-06
10C_OUTBOUND,33706,23373,5236,5097,2021-05-10 -- 2021-11-30,2021-12-01 -- 2022-03-04,2022-03-09 -- 2022-05-06
13_INBOUND,55913,38679,8461,8773,2021-05-10 -- 2021-12-21,2021-12-22 -- 2022-03-01,2022-03-04 -- 2022-05-06
13_OUTBOUND,67609,46827,10626,10156,2021-05-10 -- 2022-01-06,2022-01-10 -- 2022-03-28,2022-03-29 -- 2022-05-09
7_INBOUND,6187,4277,800,1110,2021-05-10 -- 2021-07-22,2021-07-26 -- 2021-07-30,2021-08-03 -- 2021-08-13
7_OUTBOUND,7064,4937,944,1183,2021-05-10 -- 2021-07-22,2021-07-26 -- 2021-07-30,2021-08-03 -- 2021-08-13
